scenario_id,scenario_family,modality,perturbation_recipe,expected_decision,predicted_decision,decision_correct,primary_failure_type,failed_field,confidence,manual_review_flag,latency_ms_total,notes
B1_PUBLIC_TEST_FROZEN_030_S17_OVERRIDE_INELIGIBLE_PAIR,S17_OVERRIDE_INELIGIBLE_PAIR,txt,unknown_destination,TRK-171->DST-COV-01,TRK-171->DST-COV-01,True,,,,False,1642,
B1_PUBLIC_TEST_FROZEN_031_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,txt,blocked_resource,TRK-181->DST-COV-01,TRK-181->DST-COV-01,True,,,,False,1656,
B1_PUBLIC_TEST_FROZEN_032_S19_TIE_BREAK_EQUAL_SCORE,S19_TIE_BREAK_EQUAL_SCORE,txt,weather_load_conflict,TRK-071->DST-A-01,TRK-071->DST-A-01,True,,,,False,1664,
B1_PUBLIC_TEST_FROZEN_033_S20_LARGE_QUEUE_100_TRUCKS,S20_LARGE_QUEUE_100_TRUCKS,txt,rotation_90,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1937,
B1_PUBLIC_TEST_FROZEN_034_S01_BASELINE,S01_BASELINE,txt,rotation_minus_90,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1793,
B1_PUBLIC_TEST_FROZEN_035_S02_RAIN_OPEN,S02_RAIN_OPEN,txt,light_skew,TRK-003->DST-COV-01,TRK-003->DST-COV-01,True,,,,False,1842,
B1_PUBLIC_TEST_FROZEN_036_S04_CONVEYOR_DOWN,S04_CONVEYOR_DOWN,txt,blur,TRK-001->DST-ALT-01,TRK-001->DST-ALT-01,True,,,,False,1718,
B1_PUBLIC_TEST_FROZEN_037_S05_CONTRACT_PRIORITY,S05_CONTRACT_PRIORITY,txt,jpeg_compression,TRK-003->DST-COV-01,TRK-003->DST-COV-01,True,,,,False,1724,
B1_PUBLIC_TEST_FROZEN_038_S07_VEHICLE_INCOMPAT,S07_VEHICLE_INCOMPAT,txt,low_resolution,TRK-002->DST-NARROW-01,TRK-002->DST-NARROW-01,True,,,,False,1749,
B1_PUBLIC_TEST_FROZEN_039_S08_REDUCED_CAPACITY,S08_REDUCED_CAPACITY,txt,ocr_noise,TRK-001->DST-LOWCAP-01,TRK-001->DST-LOWCAP-01,True,,,,False,1725,
B1_PUBLIC_TEST_FROZEN_040_S09_HUMAN_OVERRIDE,S09_HUMAN_OVERRIDE,txt,pt_br_abbreviation,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1727,
B1_PUBLIC_TEST_FROZEN_041_S10_FIFO_BREAK_JUSTIFIED,S10_FIFO_BREAK_JUSTIFIED,txt,missing_field,TRK-005->DST-COV-01,TRK-005->DST-COV-01,True,,,,False,2052,
B1_PUBLIC_TEST_FROZEN_042_S16_ALL_DESTINATIONS_BLOCKED,S16_ALL_DESTINATIONS_BLOCKED,txt,ticket_note_conflict,None->None,BLOCKED,True,,,,False,1642,
B1_PUBLIC_TEST_FROZEN_043_S17_OVERRIDE_INELIGIBLE_PAIR,S17_OVERRIDE_INELIGIBLE_PAIR,txt,unknown_destination,TRK-171->DST-COV-01,TRK-171->DST-COV-01,True,,,,False,1631,
B1_PUBLIC_TEST_FROZEN_044_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,txt,blocked_resource,TRK-181->DST-COV-01,TRK-181->DST-COV-01,True,,,,False,1637,
B1_PUBLIC_TEST_FROZEN_045_S19_TIE_BREAK_EQUAL_SCORE,S19_TIE_BREAK_EQUAL_SCORE,txt,weather_load_conflict,TRK-071->DST-A-01,TRK-071->DST-A-01,True,,,,False,1640,
B1_PUBLIC_TEST_FROZEN_046_S20_LARGE_QUEUE_100_TRUCKS,S20_LARGE_QUEUE_100_TRUCKS,txt,rotation_90,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1893,
B1_PUBLIC_TEST_FROZEN_047_S01_BASELINE,S01_BASELINE,txt,rotation_minus_90,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1798,
B1_PUBLIC_TEST_FROZEN_048_S02_RAIN_OPEN,S02_RAIN_OPEN,txt,light_skew,TRK-003->DST-COV-01,TRK-003->DST-COV-01,True,,,,False,1852,
B1_PUBLIC_TEST_FROZEN_049_S04_CONVEYOR_DOWN,S04_CONVEYOR_DOWN,txt,blur,TRK-001->DST-ALT-01,TRK-001->DST-ALT-01,True,,,,False,1708,
B1_PUBLIC_TEST_FROZEN_050_S05_CONTRACT_PRIORITY,S05_CONTRACT_PRIORITY,txt,jpeg_compression,TRK-003->DST-COV-01,TRK-003->DST-COV-01,True,,,,False,1741,
B1_PUBLIC_TEST_FROZEN_051_S07_VEHICLE_INCOMPAT,S07_VEHICLE_INCOMPAT,txt,low_resolution,TRK-002->DST-NARROW-01,TRK-002->DST-NARROW-01,True,,,,False,1750,
B1_PUBLIC_TEST_FROZEN_052_S08_REDUCED_CAPACITY,S08_REDUCED_CAPACITY,txt,ocr_noise,TRK-001->DST-LOWCAP-01,TRK-001->DST-LOWCAP-01,True,,,,False,1719,
B1_PUBLIC_TEST_FROZEN_053_S09_HUMAN_OVERRIDE,S09_HUMAN_OVERRIDE,txt,pt_br_abbreviation,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1722,
B1_PUBLIC_TEST_FROZEN_054_S10_FIFO_BREAK_JUSTIFIED,S10_FIFO_BREAK_JUSTIFIED,txt,missing_field,TRK-005->DST-COV-01,TRK-005->DST-COV-01,True,,,,False,2082,
B1_PUBLIC_TEST_FROZEN_055_S16_ALL_DESTINATIONS_BLOCKED,S16_ALL_DESTINATIONS_BLOCKED,txt,ticket_note_conflict,None->None,BLOCKED,True,,,,False,1662,
B1_PUBLIC_TEST_FROZEN_056_S17_OVERRIDE_INELIGIBLE_PAIR,S17_OVERRIDE_INELIGIBLE_PAIR,txt,unknown_destination,TRK-171->DST-COV-01,TRK-171->DST-COV-01,True,,,,False,1646,
B1_PUBLIC_TEST_FROZEN_057_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,txt,blocked_resource,TRK-181->DST-COV-01,TRK-181->DST-COV-01,True,,,,False,1639,
B1_PUBLIC_TEST_FROZEN_058_S19_TIE_BREAK_EQUAL_SCORE,S19_TIE_BREAK_EQUAL_SCORE,txt,weather_load_conflict,TRK-071->DST-A-01,TRK-071->DST-A-01,True,,,,False,1656,
B1_PUBLIC_TEST_FROZEN_059_S20_LARGE_QUEUE_100_TRUCKS,S20_LARGE_QUEUE_100_TRUCKS,txt,rotation_90,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1915,
B1_PUBLIC_TEST_FROZEN_060_S01_BASELINE,S01_BASELINE,txt,rotation_minus_90,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1816,
